datetime,open,high,low,close,tick_volume,spread,TARGET,fractals_high,fractals_low,RSI_14,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,MOM_14,CCI_14_0.015,EMA_4_ema4o,EMA_5_ema5c,TARGET_BUY,TARGET_SELL
2021-05-21 18:00:00,1873.95,1876.92,1872.74,1875.35,7826,140,0.0,False,False,49.155255139403295,13.45854035983266,44.07497514388148,4.159999999999855,-42.31100151076484,1877.4288183531464,1876.8997906594448,0.0,0.0
2021-04-09 21:00:00,1743.68,1743.85,1741.33,1743.1,4199,140,1.0,False,True,42.09173752630079,59.49280702764867,56.79463105453897,-8.950000000000045,-57.72216029992834,1743.9825058861156,1743.6670287459797,1.0,0.0
2021-03-11 04:00:00,1726.07,1732.26,1726.07,1730.13,5881,140,0.0,False,False,74.84400402440137,83.48552537157248,85.878133460445,18.340000000000146,123.20769445000046,1725.5428635513845,1726.887404543771,0.0,0.0
2021-02-25 14:00:00,1786.71,1790.61,1784.64,1787.58,9038,140,0.0,False,False,37.523377979500175,18.316474722082923,25.070937007256447,-17.100000000000136,-137.9370271252489,1791.3310136965636,1790.4991875495446,0.0,0.0
2021-03-08 14:00:00,1685.68,1691.83,1684.731,1690.51,8579,140,1.0,False,True,40.25570656154373,10.254206742765223,5.663402536558814,-9.75,-115.457212349723,1691.236131392803,1691.8882473908843,1.0,0.0
2021-05-25 06:00:00,1877.36,1879.95,1877.36,1879.21,3049,140,0.0,False,False,48.39054537400314,33.05087193268052,20.321905518201994,-0.7599999999999909,-50.91402993548692,1877.1218304345423,1878.0971406696988,0.0,0.0
2021-04-21 05:00:00,1780.91,1782.68,1779.67,1782.64,4001,140,0.0,False,False,64.85960166007413,90.4446288249232,81.40681652896758,9.38000000000011,145.4864351774806,1778.7970402427493,1779.942833421965,0.0,0.0
2021-03-12 05:00:00,1719.53,1719.68,1716.77,1718.26,4208,140,0.0,False,False,38.27363091677936,7.751488859133739,11.642460501569602,-17.680000000000064,-229.5364506520916,1722.271576627924,1721.1606864181806,0.0,0.0
2021-04-16 12:00:00,1765.96,1771.23,1765.41,1771.06,5392,140,0.0,False,False,72.06840701127297,43.66396086796882,25.15706270837235,4.119999999999891,273.4384646929735,1764.694715138708,1766.7199816299014,0.0,0.0
2021-11-17 10:00:00,1856.18,1860.13,1855.78,1860.07,3729,140,0.0,False,False,54.45318216937565,99.9999999999998,89.44437031465037,7.960000000000036,181.06985931388655,1854.8810476228257,1856.509163101296,0.0,0.0
2021-12-13 11:00:00,1786.6,1786.81,1783.28,1785.37,2705,140,0.0,False,False,57.70776513604616,35.13455813554145,27.444927244654,2.699999999999818,28.09074940003837,1785.718083192509,1785.5259281582728,0.0,0.0
2021-04-06 16:00:00,1735.835,1742.05,1734.06,1740.59,9927,140,0.0,False,False,67.11871464585238,58.48437527556526,41.93549980875005,11.179999999999836,174.8454336689594,1734.789828636198,1736.5340950935226,0.0,0.0
2021-06-02 21:00:00,1906.81,1908.23,1906.77,1907.78,2921,140,0.0,False,False,61.443068080962206,100.00000000000006,96.475608640721,11.470000000000027,109.08070122316464,1905.420256452,1905.865442872515,0.0,0.0
2021-06-14 05:00:00,1864.71,1866.48,1863.21,1866.31,2801,140,0.0,False,False,24.07023980114284,9.234922289593738,6.878641192598475,-22.85900000000015,-181.3691714972122,1869.9837294225592,1869.477462714489,0.0,0.0
2021-07-23 19:00:00,1802.62,1804.48,1801.47,1801.96,3440,140,0.0,False,False,48.80466446067746,44.0525058942846,43.59722576309037,-1.8299999999999272,13.647856135046688,1801.1230908239863,1801.404800748811,0.0,0.0
2021-06-25 11:00:00,1782.56,1783.612,1781.7,1782.64,4549,140,0.0,False,False,58.58157367754509,95.68277848012588,91.71851965564348,7.170000000000073,173.67449361661318,1780.3453251032345,1780.813534891734,0.0,0.0
2021-07-02 07:00:00,1778.83,1779.0,1777.72,1777.96,1396,140,0.0,False,False,58.557896701274615,74.31674256572894,69.55456076825635,-1.7699999999999818,88.32391713748817,1778.0847692664834,1777.8829458745738,0.0,0.0
2021-04-14 15:00:00,1744.74,1747.03,1743.56,1744.29,6860,140,-1.0,True,False,54.30951635131599,20.44727345093756,14.515056812365245,-0.8099999999999454,4.921439530774962,1744.039660473067,1744.150235169301,0.0,-1.0
2021-10-20 23:00:00,1785.25,1785.76,1780.75,1781.87,1650,140,1.0,False,True,54.81849092258413,22.63052296547652,35.93908603901265,5.659999999999855,20.481735616500806,1785.287283630968,1783.9779721418097,1.0,0.0
2021-09-28 07:00:00,1749.76,1751.36,1749.33,1751.17,1126,140,0.0,False,False,48.72074581164275,46.01793736177277,53.04086563054543,-4.75,-53.11942959002218,1751.0412105155349,1751.1108470222962,0.0,0.0
2021-05-14 13:00:00,1833.42,1835.69,1832.89,1835.47,4437,140,0.0,False,False,65.22215375135342,87.11817166081114,87.98196679207088,8.110000000000127,108.3480976057941,1832.703233232819,1833.2144879748864,0.0,0.0
2021-10-13 12:00:00,1766.77,1768.37,1766.31,1767.67,3010,140,0.0,False,False,64.92736708268363,99.99999999999982,99.9999999999999,8.370000000000118,201.7110038686925,1764.701913801712,1765.4155632180316,0.0,0.0
2021-10-07 16:00:00,1755.12,1759.49,1751.9,1758.78,8918,140,1.0,False,True,48.48965281765275,26.15796757854496,34.45079357154413,-5.130000000000109,-128.3682696259683,1758.925981337964,1759.144651864647,1.0,0.0
