open,high,low,close,EMA_4_ema4o,EMA_5_ema5c,spread,tick_volume,CCI_14_0.015,RSI_14,MOM_14,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3
1292.11,1292.23,1290.89,1291.54,1292.1337507561416,1291.8152289961552,160,1853,45.76042779600782,52.72938914547979,0.4099999999998545,89.87440359494322,92.62543007481855
1930.21,1930.38,1929.13,1929.42,1928.8111046393255,1929.0755288820608,120,1871,-2.3256837011501394,51.53903991091438,16.3900000000001,49.772691560255225,54.54859653882826
1485.7,1488.79,1485.24,1488.58,1484.6678091054453,1485.9848787217447,160,2246,-1.7220974044407382,46.4239500285309,-10.180000000000064,49.93797673366686,44.06320006445034
1712.57,1713.48,1710.22,1711.95,1711.8413379606436,1711.7935228626293,160,2145,49.14208887412014,54.84780683373605,5.769999999999982,72.17423313120268,71.04899976811741
1765.82,1766.17,1761.97,1763.06,1764.235996532342,1763.8314577163114,160,1841,73.14804955101418,48.915250580009385,1.4600000000000364,85.45227316354827,92.59857320879772
1845.9470000000001,1854.18,1845.82,1851.582,1846.020017466735,1847.7165694407763,140,11509,200.41639069052383,59.3647821461095,10.872000000000071,67.69812628505912,66.3674342519831
1505.28,1506.89,1499.87,1501.24,1506.6214115187704,1504.8162498048935,160,9280,-215.40892672858672,44.33584506577996,-3.930000000000064,26.229723306669182,50.783205681967935
1223.46,1225.36,1223.41,1224.61,1222.7827119798594,1223.352563076896,160,3059,120.49663299664199,63.88443417993725,2.039999999999964,61.82817281922709,37.38238801606405
1858.98,1861.57,1854.97,1856.4,1857.8861515344613,1857.383065983928,140,7903,-5.8650312720436615,44.12151093572132,1.930000000000064,71.95275835808731,57.126730316437495
1737.32,1738.06,1736.07,1737.55,1738.8159051116775,1738.4950742497438,140,1235,-58.12612764997823,47.44445812850965,-3.690000000000055,39.10267064580281,54.39170438936113
1736.93,1736.97,1736.04,1736.24,1736.6847996220513,1736.6821186104773,140,1245,-60.33704241251016,41.29824967790397,-10.8599999999999,11.758102237299163,7.555853331827624
1430.46,1431.52,1430.04,1430.91,1430.4757192772186,1430.5699733905246,160,1969,41.84923816418792,59.6426197979304,-0.6299999999998818,46.67746443761178,52.98454560601226
1804.26,1804.94,1803.93,1804.9,1803.131392560916,1803.2470870655807,140,1089,86.25387605056993,77.25922299178265,17.320000000000164,85.78677295853731,89.77437347575686
2017.11,2019.92,2014.47,2019.0,2007.127722466745,2009.4268489817773,120,4549,137.51698495837613,82.4772205089773,46.03999999999997,98.27966800224294,98.27966800224287
1874.02,1874.7,1866.11,1867.46,1872.9106835608522,1870.8441060147093,140,7609,-11.213154902475996,56.58832068485332,0.7250000000001364,50.22551643136037,63.517832588109464
1312.78,1314.51,1312.48,1314.47,1312.4489578269306,1313.125260499783,160,1536,75.16819571865533,53.88541042694804,3.690000000000055,79.38230785566364,66.5147229669969
1287.88,1289.54,1287.88,1288.27,1287.3619535437808,1287.6179674710916,160,2157,149.28441846400602,42.98020879843693,2.8899999999998727,99.99999999999994,95.15640179063688
1320.71,1322.65,1320.58,1322.44,1320.3438262900866,1320.9445703197055,160,2784,186.6585422470073,72.97160282768964,2.570000000000164,80.9030910149529,78.6971003608129
1807.78,1809.34,1801.49,1806.68,1805.307575081579,1805.5234672548768,140,8057,150.37264481519682,65.62958130344848,1.9600000000000364,57.91639675748968,43.33480872317508
1757.84,1761.8,1756.61,1759.24,1756.6561980937781,1757.2886394025406,160,6467,135.87861498363895,61.45707495457305,4.329999999999926,94.23287840048113,92.66792728181707
1728.4,1728.5,1723.79,1726.1,1732.9715387958836,1731.425648604776,140,4696,-189.0867528888118,35.23169327259762,-13.940000000000055,-1.5395092608135502e-13,21.588151306511985
1507.63,1508.91,1506.8,1508.48,1507.3235525116,1507.610097052949,160,2485,45.022249818898494,61.64358114378906,6.279999999999973,24.704739281100093,20.339838187323423
1512.19,1512.329,1505.96,1505.97,1508.3529356727693,1505.5431514928753,160,2522,66.14180224606734,51.19760679346877,-2.430000000000064,61.35783079753501,62.6180720069856
1330.91,1330.92,1328.38,1329.03,1330.9683533769569,1330.2275079117207,160,2557,-59.731036989405524,48.28624661663044,-8.799999999999955,13.637204491848706,14.605222403270467
1864.0,1869.17,1861.41,1863.51,1862.7542939708167,1862.8559589219972,140,15549,87.33837946328839,56.794245440202026,9.25,52.382671502316725,57.78347109426076
1727.79,1728.6,1724.44,1725.35,1727.8115449898933,1727.0669037904324,140,2553,-22.8353752193572,60.959414570772964,8.449999999999818,17.24212006229039,30.939887537414855
1939.15,1941.7,1931.09,1934.93,1933.3612687453474,1933.793197152901,160,13434,-28.961436386357068,49.40090370470337,-30.069999999999933,31.76616067400689,28.042330170674802
1687.07,1688.7,1684.46,1684.75,1685.8704166087439,1685.2847688293134,140,4962,70.40145928982994,43.090893257574905,0.009999999999990905,93.17612018058058,95.61175843481337
