datetime,open,high,low,close,tick_volume,spread,TARGET,t_price,fractals_high,fractals_low,RSI_14,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,MOM_14,CCI_14_0.015,EMA_4_ema4o,EMA_5_ema5c
2018-08-14 21:00:00,1193.78,1194.62,1193.47,1194.21,1420,160,-1.0,1194.62,False,False,,,,,,,
2018-08-14 22:00:00,1194.19,1194.66,1193.74,1194.25,966,160,,,False,False,,,,,,,
2018-08-14 23:00:00,1194.25,1194.56,1193.73,1193.87,568,180,,,False,False,,,,,,,
2018-08-15 01:00:00,1193.87,1194.68,1193.76,1194.22,506,160,-1.0,1194.68,True,False,,,,,,1194.0225,
2018-08-15 02:00:00,1194.23,1194.6,1193.18,1193.86,895,160,,,False,False,,,,,,1194.1055000000001,1194.0819999999999
2018-08-15 03:00:00,1193.86,1194.11,1191.51,1192.4,1327,160,,,False,False,,,,,,1194.0073,1193.5213333333334
2018-08-15 04:00:00,1192.4,1193.09,1191.26,1192.5,2068,160,,,False,False,,,,,,1193.36438,1193.1808888888888
2018-08-15 05:00:00,1192.51,1192.53,1189.24,1189.24,2271,160,,,False,False,,,,,,1193.022628,1191.8672592592593
2018-08-15 06:00:00,1189.24,1189.94,1187.89,1187.99,3002,160,,,False,False,,,,,,1191.5095767999999,1190.5748395061728
2018-08-15 07:00:00,1188.0,1188.61,1187.2,1187.51,2211,160,,,False,False,,,,,,1190.10574608,1189.5532263374485
2018-08-15 08:00:00,1187.51,1188.36,1186.43,1187.9,1699,160,1.0,1186.43,False,True,,,,,,1189.067447648,1189.0021508916323
2018-08-15 09:00:00,1187.9,1189.0,1186.76,1188.67,2435,160,,,False,False,,,,,,1188.6004685888001,1188.8914339277549
2018-08-15 10:00:00,1188.67,1189.45,1187.1,1187.85,2617,160,-1.0,1189.45,True,False,,,,,,1188.62828115328,1188.54428928517
2018-08-15 11:00:00,1187.85,1188.41,1186.15,1186.19,3006,160,,,False,False,,,,,-98.48351777035445,1188.316968691968,1187.7595261901133
2018-08-15 12:00:00,1186.18,1187.43,1184.94,1185.78,3555,160,,,False,False,14.066496163683345,,,-8.430000000000064,-104.16615125801057,1187.4621812151809,1187.0996841267422
2018-08-15 13:00:00,1185.77,1186.38,1183.83,1184.9,4258,160,1.0,1183.83,False,True,13.014986954675678,,,-9.349999999999909,-112.51922207145992,1186.7853087291085,1186.3664560844948
2018-08-15 14:00:00,1184.9,1187.15,1184.21,1186.72,3419,160,,,False,False,25.43042912873866,,,-7.149999999999864,-81.0007086793159,1186.031185237465,1186.4843040563298
2018-08-15 15:00:00,1186.72,1187.56,1184.99,1185.18,3714,160,-1.0,1187.56,True,False,22.503561797700886,,,-9.039999999999964,-80.45522122410937,1186.3067111424791,1186.0495360375533
2018-08-15 16:00:00,1185.19,1185.55,1180.06,1181.13,7647,160,,,False,False,16.971485208406545,,,-12.72999999999979,-180.25216706068082,1185.8600266854876,1184.4096906917023
2018-08-15 17:00:00,1181.14,1183.58,1178.46,1178.98,7171,160,,,False,False,14.880197701055053,,,-13.420000000000073,-197.8990504123803,1183.9720160112927,1182.5997937944683
2018-08-15 18:00:00,1179.01,1181.09,1176.3,1176.45,7375,160,,,False,False,12.870398649977192,,,-16.049999999999955,-208.1299711997625,1181.9872096067757,1180.5498625296455
2018-08-15 19:00:00,1176.46,1178.12,1175.59,1177.22,3729,160,,,False,False,16.56401855270883,,,-12.019999999999982,-168.0034619944326,1179.7763257640654,1179.439908353097
2018-08-15 20:00:00,1177.24,1178.88,1174.86,1177.73,3467,160,-1.0,1178.88,False,False,19.01289286262971,,,-10.259999999999991,-125.96021112465165,1178.7617954584393,1178.8699389020646
2018-08-15 21:00:00,1177.73,1177.87,1176.74,1176.76,1906,180,,,False,False,17.9347069744123,,,-10.75,-103.15228711046885,1178.3490772750636,1178.1666259347098
2018-08-15 22:00:00,1176.76,1177.56,1173.06,1174.56,2653,160,1.0,1173.06,False,True,15.752788522609082,,,-13.340000000000146,-114.79693056335309,1177.7134463650382,1176.9644172898065
2018-08-15 23:00:00,1174.59,1176.34,1174.0,1174.47,1345,160,,,False,False,15.668806821399428,,,-14.200000000000045,-99.53566597199426,1176.4640678190228,1176.132944859871
2018-08-16 01:00:00,1174.47,1176.21,1174.47,1175.67,604,160,,,False,False,21.66539600891318,,,-12.179999999999836,-81.15693106287151,1175.6664406914138,1175.9786299065806
2018-08-16 02:00:00,1175.67,1175.74,1173.3,1173.74,984,160,,,False,False,19.289644457741378,,,-12.450000000000045,-89.27494762658999,1175.6678644148483,1175.2324199377204
2018-08-16 03:00:00,1173.74,1174.36,1160.11,1165.68,6023,160,1.0,1160.11,False,True,12.91858406727836,,,-20.09999999999991,-189.00132917825684,1174.896718648909,1172.0482799584802
2018-08-16 04:00:00,1165.69,1170.55,1163.67,1169.95,8760,160,,,False,False,26.726067090742024,50.49738729005352,,-14.950000000000045,-151.20970983039916,1171.2140311893454,1171.3488533056534
2018-08-16 05:00:00,1169.96,1173.5,1169.35,1172.25,3926,160,-1.0,1173.5,False,False,32.89784315860457,66.79454697550999,,-14.470000000000027,-77.74327122153439,1170.7124187136073,1171.6492355371022
2018-08-16 06:00:00,1172.26,1172.93,1170.69,1172.68,3400,160,,,False,False,34.01681519702407,100.0,72.43064475518783,-12.5,-60.90146750523578,1171.3314512281645,1171.9928236914016
2018-08-16 07:00:00,1172.67,1174.32,1171.51,1173.93,2317,160,,,False,False,37.2905391940197,100.0,88.93151565850333,-7.2000000000000455,-25.768601701947333,1171.8668707368988,1172.638549127601
2018-08-16 08:00:00,1173.93,1178.6,1173.67,1177.65,4443,160,-1.0,1178.6,True,False,45.89397678814216,100.0,100.0,-1.3299999999999272,63.54734053635944,1172.6921224421394,1174.309032751734
